location,interval,priority
1109,360,high
7529,360,high
7531,360,high
40011,360,high
40271,360,high
40021,360,high
40031,360,high
40041,360,high
40051,360,high
40111,360,high
40071,360,high
40081,360,high
40091,360,high
41011,360,high
41021,360,high
41031,360,high
41041,360,high
41051,360,high
41061,360,high
41071,360,high
41081,360,high
42011,360,high
42021,360,high
42031,360,high
42041,360,high
42051,360,high
42061,360,high
42071,360,high
42091,360,high
42111,360,high
43011,360,high
43021,360,high
43041,360,high
43051,360,high
43061,360,high
43071,360,high
43081,360,high
43091,360,high
43111,360,high
44011,360,high
44021,360,high
44041,360,high
44051,360,high
43991,360,high
44061,360,high
45011,360,high
45021,360,high
45031,360,high
45041,360,high
45051,360,high
45061,360,high
45071,360,high
45091,360,high
45101,360,high
45111,360,high
45121,360,high
45131,360,high
46021,360,high
46031,360,high
46041,360,high
46051,360,high
46069,360,high
46088,360,high
46101,360,high
46211,360,high
46239,360,high
46239,360,high
46219,360,high
46109,360,high
46069,360,high
46088,360,high
46091,360,high
46059,360,high
46049,360,high
46039,360,high
46029,360,high
45139,360,high
45129,360,high
45119,360,high
45109,360,high
45099,360,high
45079,360,high
45069,360,high
45059,360,high
45049,360,high
45039,360,high
45029,360,high
44999,360,high
45019,360,high
44069,360,high
44059,360,high
44049,360,high
44029,360,high
44019,360,high
43119,360,high
43109,360,high
43099,360,high
43089,360,high
43069,360,high
43059,360,high
43049,360,high
43029,360,high
43019,360,high
42119,360,high
42099,360,high
42079,360,high
42059,360,high
42049,360,high
42039,360,high
42029,360,high
42019,360,high
41089,360,high
41079,360,high
41069,360,high
41049,360,high
41029,360,high
41019,360,high
40099,360,high
40089,360,high
40079,360,high
40119,360,high
40069,360,high
40059,360,high
40049,360,high
40039,360,high
40029,360,high
40279,360,high
40019,360,high
7539,360,high
1109,360,high
