BusStopCode,interval,priority
1012,300,high
1013,300,high
1019,300,high
1029,300,high
1039,300,high
1059,300,high
1109,450,low
1112,300,high
1113,300,high
1119,300,high
1121,300,high
1129,300,high
1139,300,high
1211,300,high
1219,300,high
1229,300,high
1231,450,low
1239,300,high
1311,300,high
1319,300,high
1329,300,high
1339,300,high
1341,300,high
1349,450,low
1411,300,high
1419,450,low
1421,300,high
1429,450,low
1511,300,high
1519,300,high
1521,300,high
1529,300,high
1541,450,low
1549,450,low
1559,450,low
1611,300,high
1619,300,high
1621,300,high
1629,300,high
1631,450,low
1639,450,low
2029,300,high
2049,300,high
2051,300,high
2061,300,high
2089,300,high
2101,300,high
2111,300,high
2119,300,high
2141,450,low
2149,300,high
2151,300,high
2159,300,high
2161,300,high
2169,450,low
2171,300,high
2181,300,high
3011,300,high
3019,300,high
3021,300,high
3031,300,high
3041,450,low
3059,300,high
3071,300,high
3111,300,high
3129,300,high
3151,300,high
3217,300,high
3218,300,high
3222,300,high
3223,300,high
3239,300,high
3331,450,low
3339,450,low
3341,450,low
3349,450,low
3361,450,low
3369,450,low
3371,450,low
3381,300,high
3391,300,high
3411,450,low
3419,450,low
3421,450,low
3501,300,high
3509,300,high
3511,300,high
3519,300,high
3529,300,high
3539,300,high
3549,450,low
3579,450,low
4019,300,high
4029,300,high
4111,300,high
4121,300,high
4142,300,high
4143,300,high
4149,300,high
4151,300,high
4159,300,high
4167,300,high
4168,300,high
4179,300,high
4211,300,high
4219,300,high
4222,300,high
4223,300,high
4229,300,high
4239,300,high
4249,300,high
4251,300,high
4311,300,high
4321,300,high
4329,300,high
4331,300,high
4339,300,high
5012,300,high
5013,300,high
5019,300,high
5022,300,high
5023,300,high
5029,300,high
5039,300,high
5049,300,high
5059,300,high
5069,300,high
5129,450,low
5131,300,high
5189,300,high
5199,300,high
5239,300,high
5241,450,low
5259,300,high
5269,450,low
5271,450,low
5319,450,low
5411,450,low
5419,450,low
5421,450,low
5429,450,low
5431,450,low
5519,300,high
5521,300,high
5539,300,high
5629,300,high
5631,300,high
